ID,Basin_File,River_File,Basin_Path,River_Path,BOUNDING_BOX_COORDS,Lat,Lon,Area_km2
CAN_02GG002,CAN_02GG002_distributed_basin.shp,CAN_02GG002_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02GG002,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02GG002,43.123749999999994/-81.91208333333333/42.80541666666669/-81.37291666666667,42.9289543431417,-81.66102272029728,701.0779182850505
USA_01031500,USA_01031500_distributed_basin.shp,USA_01031500_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/USA_01031500,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/USA_01031500,45.44708333333333/-69.77125/45.07125/-69.31458333,45.23482605106519,-69.58249042493215,761.5953058890784
CAN_02CF011,CAN_02CF011_distributed_basin.shp,CAN_02CF011_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02CF011,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02CF011,47.19625/-81.35958333333332/46.663750000000014/-80.88791666666668,46.93909315998771,-81.11715914542444,735.1828741093925
CAN_07AF014,CAN_07AF014_distributed_basin.shp,CAN_07AF014_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07AF014,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07AF014,53.46458333333333/-117.16291666666667/53.04875000000001/-116.75208333333335,53.290302117196674,-116.9708135844113,633.721822229507
CAN_08LE027,CAN_08LE027_distributed_basin.shp,CAN_08LE027_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08LE027,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08LE027,51.69958333333334/-119.05541666666666/51.24125/-118.58208333333333,51.43930380298045,-118.83785149855173,801.2096190352711
CAN_10LC007,CAN_10LC007_distributed_basin.shp,CAN_10LC007_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_10LC007,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_10LC007,68.10291666666667/-133.49541667/67.78291666666668/-132.51708333333335,67.9783424898182,-132.98269324106428,613.1710292359606
CAN_07GA002,CAN_07GA002_distributed_basin.shp,CAN_07GA002_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07GA002,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07GA002,53.98291667/-118.96958333333333/53.604583333333345/-118.40875000000001,53.819044706457944,-118.71105643739517,699.6158147983588
CAN_04CA003,CAN_04CA003_distributed_basin.shp,CAN_04CA003_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_04CA003,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_04CA003,52.69125/-92.82874999999999/52.283750000000005/-92.32541666666668,52.50463217451486,-92.5841429844153,614.4789333864546
CAN_05BL019,CAN_05BL019_distributed_basin.shp,CAN_05BL019_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05BL019,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05BL019,50.62041666666667/-115.01625/50.15791666666667/-114.49625,50.37876326759909,-114.72578198403554,774.451990425971
CAN_05CB004,CAN_05CB004_distributed_basin.shp,CAN_05CB004_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05CB004,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05CB004,52.25208333333333/-115.17374999999998/51.92208333333334/-114.42041666666667,52.07482303050768,-114.73323418585127,705.3349077666304
CAN_02EB014,CAN_02EB014_distributed_basin.shp,CAN_02EB014_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02EB014,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02EB014,45.70708333333333/-79.03375/45.30458333333335/-78.57791666666668,45.49767344151674,-78.76604958404717,563.2039584091453
CAN_02FE008,CAN_02FE008_distributed_basin.shp,CAN_02FE008_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02FE008,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02FE008,43.815416666666664/-81.36791666666667/43.51208333333335/-80.77291666666667,43.67633370610614,-81.06747003717265,645.1341961227081
CAN_07JC001,CAN_07JC001_distributed_basin.shp,CAN_07JC001_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07JC001,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07JC001,57.19375000000001/-115.87291666666667/56.96125000000001/-115.09291667,57.07036743957154,-115.54417305558663,510.40146856261083
CAN_02AC001,CAN_02AC001_distributed_basin.shp,CAN_02AC001_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02AC001,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02AC001,49.07125/-88.94125/48.71375000000001/-88.53375,48.90382956314757,-88.77799542501249,609.6973654078413
